ID,x,y,Especie,Subespecie,Nombre común,Total,Lugar,lat,lng,id
179,378916.8817,1137749.734,Alouatta palliata,,Mono Congo,3,"Unnamed Road, Provincia de Guanacaste, Costa Rica",10.2875,-85.105408,68108265
180,305489.6448,1138095.62,Alouatta palliata,,Mono Congo,7,"Prov?¡ncia de Guanacaste, Costa Rica",10.287646,-85.775586,68491203
181,306834.9933,1138140.691,Alouatta palliata,,Mono Congo,1,"Prov?¡ncia de Guanacaste, Costa Rica",10.28812,-85.763311,68491267
182,304137.615,1138217.162,Alouatta palliata,,Mono Congo,8,"Black Stallion Eco Park & Estates, Tamarindo, Santa Cruz, Costa Rica, Provincia de Guanacaste, Costa Rica",10.288677,-85.78793,68517440
183,311596.7925,1138193.16,Alouatta palliata,,Mono Congo,1,"El Trapiche, Provincia de Guanacaste, Costa Rica",10.288828,-85.719859,68492142
184,311777.2792,1138566.938,Alouatta palliata,,Mono Congo,18,"Prov?¡ncia de Guanacaste, Costa Rica",10.292215,-85.718231,68491999
185,303102.7528,1138647.975,Alouatta palliata,,Mono Congo,8,"Prov?¡ncia de Guanacaste, Costa Rica",10.292518,-85.797395,68394082
186,298126.4728,1138989.843,Alouatta palliata,,Mono Congo,3,"Calle Valencia, Tamarindo, Provincia di Guanacaste, CR",10.295352,-85.842824,68447291
187,298166.3006,1139014.31,Alouatta palliata,,Mono Congo,1,"Calle Valencia, Tamarindo, Provincia di Guanacaste, CR",10.295575,-85.842462,68407533
188,297864.9555,1139084.719,Alouatta palliata,,Mono Congo,1,"Tamarindo, Provincia di Guanacaste, CR",10.296196,-85.845215,68220798
189,509903.7434,1138506.394,Cebus  imitator ,imitator,Mono Carablanca,6,"Heredia, Sarapiqu?¡, Costa Rica",10.296215,-83.909578,68607190
190,306752.981,1139136.23,Alouatta palliata,,Mono Congo,11,"Prov?¡ncia de Guanacaste, Costa Rica",10.297114,-85.76411,68492371
191,412849.0565,1139323.75,Cebus  imitator,,Mono Carablanca,1,Reserva biol??gica Bosque Nuboso Monteverde,10.30264,-84.79569,68326870
192,511669.6344,1139278.347,Alouatta palliata,,Mono Congo,9,"Heredia, Sarapiqu?¡, Costa Rica",10.30319,-83.893453,68606470
193,298784.8148,1140189.466,Alouatta palliata,,Mono Congo,14,"Guanacaste Province, Tamarindo, Costa Rica",10.306227,-85.836879,68350703
194,511349.8434,1139687.727,Alouatta palliata,,Mono Congo,3,"Heredia, La Villalobos, Costa Rica",10.306893,-83.896371,68607380
195,374046.2779,1140433.137,Alouatta palliata,,Mono Congo,4,"Provincia de Guanacaste, Costa Rica",10.311603,-85.149955,68406884
196,374038.4689,1140467.685,Cebus  imitator,,Mono Carablanca,27,"Provincia de Guanacaste, Costa Rica",10.311915,-85.150027,68369242
197,369299.5549,1140571.875,Cebus  imitator,,Mono Carablanca,6,"Unnamed Road, Provincia de Guanacaste, Costa Rica",10.3127,-85.193291,68840006
198,374676.0639,1140924.905,Cebus  imitator,,Mono Carablanca,15,"Ca??as, Guanacaste, CR",10.316069,-85.144222,68273780
